# estimate_k1_margin seed=20260903 nkeys=10000 nwrong=1000 tau=8 dtype=float16 device=cpu shard=12/30
key_index,col,true_count,wrong_max,wrong_mean,wrong_ge_tau
12,0,30,0,0.0000,0
12,1,30,0,0.0000,0
12,2,31,0,0.0000,0
12,3,23,0,0.0000,0
42,0,23,0,0.0000,0
42,1,23,0,0.0000,0
42,2,32,0,0.0000,0
42,3,30,0,0.0000,0
72,0,32,0,0.0000,0
72,1,32,0,0.0000,0
72,2,24,0,0.0000,0
72,3,32,0,0.0000,0
102,0,32,0,0.0000,0
102,1,23,0,0.0000,0
102,2,30,0,0.0000,0
102,3,31,0,0.0000,0
132,0,22,0,0.0000,0
132,1,31,0,0.0000,0
132,2,24,0,0.0000,0
132,3,30,0,0.0000,0
162,0,31,0,0.0000,0
162,1,24,0,0.0000,0
162,2,29,0,0.0000,0
162,3,22,0,0.0000,0
192,0,31,0,0.0000,0
192,1,32,0,0.0000,0
192,2,30,0,0.0000,0
192,3,31,0,0.0000,0
222,0,32,0,0.0000,0
222,1,23,0,0.0000,0
222,2,31,0,0.0000,0
222,3,30,0,0.0000,0
252,0,30,0,0.0000,0
252,1,29,0,0.0000,0
252,2,22,0,0.0000,0
252,3,16,0,0.0000,0
282,0,23,0,0.0000,0
282,1,32,0,0.0000,0
282,2,23,0,0.0000,0
282,3,30,0,0.0000,0
312,0,23,0,0.0000,0
312,1,23,0,0.0000,0
312,2,32,0,0.0000,0
312,3,30,0,0.0000,0
342,0,31,0,0.0000,0
342,1,23,0,0.0000,0
342,2,30,0,0.0000,0
342,3,23,0,0.0000,0
372,0,32,0,0.0000,0
372,1,32,0,0.0000,0
372,2,24,0,0.0000,0
372,3,32,0,0.0000,0
402,0,31,0,0.0000,0
402,1,31,0,0.0000,0
402,2,30,0,0.0000,0
402,3,29,0,0.0000,0
432,0,24,0,0.0000,0
432,1,31,0,0.0000,0
432,2,28,0,0.0000,0
432,3,31,0,0.0000,0
462,0,32,0,0.0000,0
462,1,31,0,0.0000,0
462,2,23,0,0.0000,0
462,3,30,0,0.0000,0
492,0,32,0,0.0000,0
492,1,31,0,0.0000,0
492,2,31,0,0.0000,0
492,3,32,0,0.0000,0
522,0,16,0,0.0000,0
522,1,30,0,0.0000,0
522,2,30,0,0.0000,0
522,3,31,0,0.0000,0
552,0,32,0,0.0000,0
552,1,32,0,0.0000,0
552,2,31,0,0.0000,0
552,3,32,0,0.0000,0
582,0,32,0,0.0000,0
582,1,23,0,0.0000,0
582,2,32,0,0.0000,0
582,3,24,0,0.0000,0
612,0,30,0,0.0000,0
612,1,23,0,0.0000,0
612,2,23,0,0.0000,0
612,3,31,0,0.0000,0
642,0,30,0,0.0000,0
642,1,32,0,0.0000,0
642,2,15,0,0.0000,0
642,3,31,0,0.0000,0
672,0,31,0,0.0000,0
672,1,24,0,0.0000,0
672,2,31,0,0.0000,0
672,3,30,0,0.0000,0
702,0,32,0,0.0000,0
702,1,32,0,0.0000,0
702,2,31,0,0.0000,0
702,3,31,0,0.0000,0
732,0,28,0,0.0000,0
732,1,31,0,0.0000,0
732,2,31,0,0.0000,0
732,3,32,0,0.0000,0
762,0,31,0,0.0000,0
762,1,30,0,0.0000,0
762,2,30,0,0.0000,0
762,3,32,0,0.0000,0
792,0,30,0,0.0000,0
792,1,32,0,0.0000,0
792,2,24,0,0.0000,0
792,3,30,0,0.0000,0
822,0,30,0,0.0000,0
822,1,31,0,0.0000,0
822,2,30,0,0.0000,0
822,3,30,0,0.0000,0
852,0,23,0,0.0000,0
852,1,32,0,0.0000,0
852,2,24,0,0.0000,0
852,3,23,0,0.0000,0
882,0,32,0,0.0000,0
882,1,30,0,0.0000,0
882,2,24,0,0.0000,0
882,3,31,0,0.0000,0
912,0,30,0,0.0000,0
912,1,32,0,0.0000,0
912,2,31,0,0.0000,0
912,3,24,0,0.0000,0
942,0,31,0,0.0000,0
